DATETIME,Model,Accuracy,Feature function,Feature function config,Feature function training time,Model config,Model training time
02-02-2018_10-32-27,logistic_reg,46.600000000000001,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'}",9.998273134231567,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",5.985231876373291
02-02-2018_10-32-30,neural_net,65.799999999999997,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'}",9.998273134231567,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",3.4060261249542236
02-02-2018_10-33-39,logistic_reg,46.5,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",12.236303091049194,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",6.9175519943237305
02-02-2018_10-33-42,neural_net,59.799999999999997,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",12.236303091049194,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",3.008018970489502
02-02-2018_10-37-45,logistic_reg,49.0,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",11.822767972946167,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",9.350165843963623
02-02-2018_10-37-49,neural_net,67.5,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",11.822767972946167,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",4.032296895980835
02-02-2018_10-40-24,logistic_reg,49.0,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",11.547104835510254,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",8.506265878677368
02-02-2018_10-40-40,neural_net,70.5,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",11.547104835510254,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",15.179223775863647
02-02-2018_10-41-45,neural_net,74.900000000000006,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",11.547104835510254,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False}",16.350778818130493
02-02-2018_10-42-14,logistic_reg,49.0,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",12.185029029846191,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",8.94594693183899
02-02-2018_10-43-00,neural_net,73.700000000000003,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",12.185029029846191,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False}",46.1329140663147
