DATETIME,Model,Accuracy,Feature function,Normalization,Feature function config,Feature function training time,Model config,Model training time
02-02-2018_17-16-51,logistic_reg,31.5,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 0, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",45.81965613365173,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",102.88991689682007
02-02-2018_17-17-06,neural_net,28.000000000000004,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 0, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",45.81965613365173,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",14.740453958511353
02-02-2018_17-28-54,logistic_reg,41.0,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",48.644591093063354,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",101.45431208610535
02-02-2018_17-29-30,neural_net,36.899999999999999,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",48.644591093063354,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",35.59330892562866
02-02-2018_17-40-43,logistic_reg,40.699999999999996,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",52.231525182724,"{'warm_start': False, 'C': 1, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",94.14413690567017
02-02-2018_17-40-51,neural_net,28.699999999999999,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",52.231525182724,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",7.499884843826294
02-02-2018_17-51-19,logistic_reg,40.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",42.85422110557556,"{'warm_start': False, 'C': 2, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",77.86717009544373
02-02-2018_17-51-26,neural_net,28.699999999999999,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",42.85422110557556,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",6.795820951461792
02-02-2018_18-21-34,logistic_reg,40.699999999999996,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",65.45621585845947,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",104.8927960395813
02-02-2018_18-21-41,neural_net,19.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",65.45621585845947,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",6.598036050796509
