DATETIME;Model;Accuracy;Feature function;Feature function config;Feature function training time;Model config;Model training time
29-01-2018_12-43-31;logistic_reg;31.900000000000002;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};48.64340901374817;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};34.11626601219177
29-01-2018_12-43-37;neural_net;50.799999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};48.64340901374817;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};4.1589579582214355
29-01-2018_12-45-46;logistic_reg;37.100000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': True, 'compression': 'log'};52.36414194107056;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};56.933480978012085
29-01-2018_12-45-56;neural_net;46.899999999999999;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': True, 'compression': 'log'};52.36414194107056;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};7.847805023193359
29-01-2018_12-48-44;logistic_reg;36.799999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};53.997678995132446;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};79.59712791442871
29-01-2018_12-48-57;neural_net;36.299999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};53.997678995132446;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};12.997847080230713
29-01-2018_12-51-06;logistic_reg;29.5;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};52.25878310203552;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};32.703142166137695
29-01-2018_12-51-09;neural_net;39.5;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};52.25878310203552;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};3.4874320030212402
29-01-2018_12-53-50;logistic_reg;30.300000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 40, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};59.792133808135986;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};31.099097967147827
29-01-2018_12-53-54;neural_net;50.200000000000003;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 40, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};59.792133808135986;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};3.683624029159546
29-01-2018_12-55-43;logistic_reg;46.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};9.325134992599487;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};5.8622331619262695
29-01-2018_12-55-45;neural_net;62.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};9.325134992599487;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};1.919529914855957
29-01-2018_12-56-32;logistic_reg;42.399999999999999;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};6.561572074890137;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};2.0471150875091553
29-01-2018_12-56-36;neural_net;62.700000000000003;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};6.561572074890137;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};3.8867690563201904
